date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:21	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Sep%202021%2020:18:21%20GMT	https://abkaabi.com/robots.txt		(from )
23:18:21	6670/6670	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Sep%202021%2020:18:21%20GMT	https://abkaabi.com/	C:/My%20Web%20Sites/dzamha/abkaabi.com/index.html	(from )
23:18:22	22548/22548	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Mar%202018%2018:21:00%20GMT	https://abkaabi.com/public/fav.png	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/fav.png	(from https://abkaabi.com/)
23:18:22	6017/6017	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Mar%202018%2020:48:40%20GMT	https://abkaabi.com/public/assets/images/logo.png	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/images/logo.png	(from https://abkaabi.com/)
23:18:22	209180/209180	---M--	200	added ('OK')	text/css	date:Fri,%2023%20Mar%202018%2022:46:44%20GMT	https://abkaabi.com/public/assets/css/style.css	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/css/style.css	(from https://abkaabi.com/)
23:18:22	11489/11489	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Sep%202021%2020:18:22%20GMT	https://abkaabi.com/site/cat/5	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/cat/5.html	(from https://abkaabi.com/)
23:18:22	7775/7775	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2009:38:45%20GMT	https://abkaabi.com/uploads/482183a9cb9f072860dde21c65aab3ca.jpeg	C:/My%20Web%20Sites/dzamha/abkaabi.com/uploads/482183a9cb9f072860dde21c65aab3ca.jpg	(from https://abkaabi.com/)
23:18:23	8435/8435	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Sep%202021%2020:18:22%20GMT	https://abkaabi.com/site/cat/4	C:/My%20Web%20Sites/dzamha/abkaabi.com/site/cat/4.html	(from https://abkaabi.com/)
23:18:23	2038/2038	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Apr%202018%2006:52:26%20GMT	https://abkaabi.com/uploads/f4bad7a0fd71b13f4c0a7eaa7064dab6.png	C:/My%20Web%20Sites/dzamha/abkaabi.com/uploads/f4bad7a0fd71b13f4c0a7eaa7064dab6.png	(from https://abkaabi.com/)
23:18:23	6670/6670	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Sep%202021%2020:18:23%20GMT	https://abkaabi.com/.	C:/My%20Web%20Sites/dzamha/abkaabi.com/.html	(from https://abkaabi.com/)
23:18:23	19280/19280	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Mar%202018%2020:10:12%20GMT	https://abkaabi.com/public/assets/images/youtube.png	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/images/youtube.png	(from https://abkaabi.com/)
23:18:23	19348/19348	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Mar%202018%2020:10:36%20GMT	https://abkaabi.com/public/assets/images/twitter.png	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/images/twitter.png	(from https://abkaabi.com/)
23:18:24	1007/1007	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Mar%202018%2020:48:42%20GMT	https://abkaabi.com/public/assets/images/snap.png	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/images/snap.png	(from https://abkaabi.com/)
23:18:24	1025/1025	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Mar%202018%2020:48:40%20GMT	https://abkaabi.com/public/assets/images/instagram.png	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/images/instagram.png	(from https://abkaabi.com/)
23:18:24	132688/132688	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Apr%202018%2008:49:57%20GMT	https://abkaabi.com/uploads/76401e670485aada5954c9efad036573.PNG	C:/My%20Web%20Sites/dzamha/abkaabi.com/uploads/76401e670485aada5954c9efad036573.png	(from https://abkaabi.com/)
23:18:24	97163/97163	---M--	200	added ('OK')	application/javascript	date:Sat,%2028%20May%202016%2011:17:36%20GMT	https://abkaabi.com/public/assets/js/jquery-1.12.4.min.js	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/js/jquery-1.12.4.min.js	(from https://abkaabi.com/)
23:18:25	36868/36868	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Nov%202015%2018:34:22%20GMT	https://abkaabi.com/public/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/dzamha/abkaabi.com/public/assets/js/bootstrap.min.js	(from https://abkaabi.com/)
